month,vwmr
1,0.086582095
1,0.032717217
1,0.014840943
1,-0.010237348
1,-0.00541302
1,0.04962986
1,0.12675767
1,0.006146815
1,-0.060963936
1,-0.024779683
1,0.028475084
1,-0.00273007
1,0.004823829
1,0.005246674
1,-0.059965979
1,0.005040938
1,0.060583307
1,0.052305072
1,0.044298696
1,-0.007376929
1,0.004075116
1,-0.050323594
1,0.011583767
1,0.028308799
1,0.106997825
1,0.068788722
1,-0.012413152
1,0.033751972
1,-0.047073569
1,0.062100462
1,0.06723766
1,0.129515548
1,0.036950655
1,-0.011281445
1,0.1414
1,-0.0732
2,0.029098351
2,0.038238388
2,0.074419805
2,-0.01434395
2,0.033636267
2,0.039485709
2,0.006854789
2,0.017544606
2,-0.026200134
2,0.022511637
2,-0.015982699
2,0.033802703
2,-0.019613443
2,0.01755595
2,-0.020766884
2,-0.001020415
2,-0.043983578
2,0.011279138
2,0.039448329
2,0.013080813
2,-0.05099688
2,-0.013338813
2,0.061490387
2,0.066544429
2,-0.031564872
2,-0.004995616
2,0.018680995
2,0.01754802
2,-0.01200509
2,-0.024275867
2,0.001159948
2,0.040249181
2,0.007834205
2,-0.014275405
2,0.0757
2,-0.0524
3,-0.003231685
3,0.056769574
3,-0.001605768
3,0.032664051
3,0.052729228
3,0.023615805
3,-0.000891056
3,0.009918868
3,-0.002889188
3,0.045819355
3,0.00681647
3,0.054945603
3,-0.004852615
3,-0.00727402
3,0.015105028
3,0.01173667
3,-0.003233874
3,-0.033731854
3,0.011903123
3,-0.00924104
3,0.041710098
3,-0.015927397
3,0.042952501
3,-0.007328556
3,0.019334124
3,0.036502007
3,-0.003638576
3,0.0267528
3,0.008560349
3,-0.021096387
3,0.003403297
3,0.056922451
3,0.004987699
3,-0.012107083
3,0.0656
3,-0.1201
4,0.009133414
4,0.020237393
4,0.038307824
4,0.04376018
4,0.013600427
4,0.044356051
4,-0.011395438
4,-0.057071442
4,-0.00293874
4,-0.004215499
4,-0.056248329
4,0.026952716
4,-0.01195951
4,0.004160989
4,-0.03517908
4,0.026520668
4,0.065359359
4,-0.014685235
4,0.007441476
4,0.067020949
4,0.037686144
4,0.065990408
4,0.010543618
4,0.006293946
4,-0.004035604
4,0.052160148
4,-0.026471264
4,0.019577584
4,0.009356103
4,0.07578265
4,-0.00687984
4,-0.032929903
4,0.017418946
4,0.00954889
4,0.0941
4,-0.1053
5,-0.006349846
5,0.009157479
5,-0.037515773
5,0.001812185
5,-0.013016646
5,-0.063423666
5,0.001842605
5,-0.006920079
5,0.051457506
5,-0.009371212
5,0.031304801
5,0.016776529
5,-0.031530182
5,0.024883667
5,0.008067058
5,0.017597091
5,0.034824906
5,0.015772695
5,0.067290775
5,0.015828392
5,-0.032130346
5,0.037760447
5,-0.031041382
5,-0.05541352
5,-0.016580242
5,-0.014295008
5,-0.009491569
5,0.068047174
5,0.069057084
5,0.037208087
5,-0.032824955
5,0.012592504
5,0.028839884
5,0.006983558
5,0.0889
5,-0.0845
6,0.033996787
6,-0.022317837
6,0.004835248
6,0.046236476
6,0.038473628
6,-0.05121938
6,0.031061859
6,-0.010772396
6,-0.020031873
6,-0.035499829
6,-0.009838849
6,0.022682506
6,0.04695248
6,0.004811987
6,-0.002078108
6,-0.006280685
6,0.031301415
6,-0.03484941
6,0.008423855
6,0.033506102
6,0.03481383
6,0.013854142
6,-0.037488064
6,-0.026394144
6,-0.023124088
6,-0.046619375
6,0.001597509
6,0.040050497
6,-0.079237274
6,0.024949241
6,-0.006291273
6,-0.024705394
6,0.025326998
6,0.021373419
6,0.0516
6,-0.0827
7,-0.006009166
7,0.066040667
7,0.005199458
7,-0.027765819
7,0.069638398
7,0.002310955
7,0.032104551
7,0.053785671
7,0.02668766
7,0.060575595
7,-0.018984957
7,0.071926837
7,-0.05824734
7,-0.02600218
7,-0.011206106
7,0.019975031
7,-0.006906482
7,0.033291087
7,0.027086533
7,0.036933962
7,0.067507506
7,-0.043119744
7,0.048009606
7,0.001006375
7,-0.019448517
7,-0.056502328
7,-0.021196008
7,-0.000287653
7,-0.062711784
7,-0.002591495
7,0.030513567
7,-0.038276006
7,0.010921788
7,-0.040059659
7,0.0771
7,-0.0709
8,0.000137618
8,0.032904008
8,-0.073534718
8,0.081768543
8,-0.038497508
8,0.034481859
8,0.073899532
8,-0.030745798
8,-0.021455574
8,0.037293492
8,-0.026372928
8,-0.031206093
8,0.05666076
8,0.063076148
8,-0.005932548
8,0.080892511
8,0.067829248
8,-0.000448707
8,-0.026246773
8,-0.021379457
8,0.050461201
8,0.020620664
8,0.024160538
8,0.001486458
8,0.008257566
8,-0.014984243
8,0.041225539
8,-0.009360204
8,0.070879556
8,0.022239237
8,0.036140146
8,0.053008803
8,0.000301385
8,-0.05926026
8,0.119
8,-0.0917
9,-0.007104741
9,-0.043881161
9,0.021271336
9,0.0152748
9,-0.033676456
9,-0.00555404
9,0.042847883
9,0.042414666
9,-0.039490278
9,0.026919274
9,0.004756603
9,0.013346199
9,-0.028035744
9,-0.006204008
9,-0.066972458
9,-0.023667722
9,-0.009471178
9,0.043377233
9,-0.034156282
9,0.010497226
9,0.003546781
9,-0.044158906
9,0.009867121
9,0.052478811
9,0.031449628
9,0.037731868
9,-0.006420941
9,0.032033856
9,-0.077226665
9,-0.040543847
9,-0.005145784
9,0.004155291
9,0.017561022
9,0.024280611
9,0.054
9,-0.1097
10,-0.008442866
10,-0.009355277
10,-0.003782697
10,-0.01273052
10,0.005673888
10,0.047878098
10,0.030436217
10,-0.007576321
10,-0.018232149
10,0.006526596
10,0.002166304
10,0.062269191
10,-0.084681324
10,-0.030066339
10,0.037082883
10,0.038825002
10,-0.016487687
10,0.002135263
10,0.086591631
10,-0.035343712
10,0.085784415
10,0.024271317
10,0.055121904
10,-0.011236265
10,-0.036246287
10,0.027695435
10,0.02866594
10,-0.006977877
10,-0.02600441
10,0.06566691
10,-0.045366066
10,0.071109355
10,-0.014117057
10,-0.068353494
10,0.1656
10,-0.2249
11,0.027761704
11,0.028627216
11,-0.068254517
11,0.03832102
11,0.025458624
11,-0.027961387
11,0.005440516
11,0.094143885
11,0.044463424
11,-0.036563243
11,0.017224017
11,0.082307143
11,0.014917744
11,-0.006461295
11,0.0594283
11,-0.004647018
11,0.004576502
11,0.047282276
11,0.083576754
11,-0.018800475
11,0.004645295
11,0.010928393
11,0.048788634
11,0.074192429
11,0.080116161
11,0.004710666
